[1111877653, '[1391, 1956, 40]', 'Outside Entrance', '44 23N', '123 7W', ['44', '23', 'N', '123', '7', 'W'], (4692, 1119)]
[1085609085, '[1391, 1960, 10]', 'Black Bear 2', '38 8S', '16 44W', ['38', '8', 'S', '16', '44', 'W'], (1085, 2057)]
[1085609085, '[1391, 1960, 10]', 'Black Bear 3', '132 11N', '91 24E', ['132', '11', 'N', '91', '24', 'E'], (2622, 120)]
[1085609085, '[1391, 1960, 10]', 'Black Bear 4', '94 34N', '30 14W', ['94', '34', 'N', '30', '14', 'W'], (893, 548)]
[1085609085, '[1391, 1960, 10]', 'Cove', '54 34N', '81 12E', ['54', '34', 'N', '81', '12', 'E'], (2477, 1003)]
[1085609085, '[1391, 1960, 10]', 'Dagger Island', '90 0N', '153 59W', ['90', '0', 'N', '153', '59', 'W'], (4253, 600)]
[1085609085, '[1391, 1960, 10]', 'Jungle 1', '123 50S', '9 33E', ['123', '50', 'S', '9', '33', 'E'], (1458, 3032)]
[1085609085, '[1391, 1960, 10]', 'Jungle 2', '147 44S', '26 13E', ['147', '44', 'S', '26', '13', 'E'], (1695, 3304)]
[1085609085, '[1391, 1960, 10]', 'Jungle 3', '144 24S', '49 51E', ['144', '24', 'S', '49', '51', 'E'], (2031, 3266)]
[1085609085, '[1391, 1960, 10]', 'Island of Fire', '178 25S', '133 35W', ['178', '25', 'S', '133', '35', 'W'], (4543, 3653)]
[1085609085, '[1391, 1960, 10]', 'Ocllo', '82 37S', '149 50E', ['82', '37', 'S', '149', '50', 'E'], (3453, 2563)]
[1085609085, '[1391, 1960, 10]', 'Road to Cove', '53 31N', '93 39E', ['53', '31', 'N', '93', '39', 'E'], (2654, 1015)]
[1085609085, '[1391, 1960, 10]', 'Skara Brae', '46 45S', '38 40W', ['46', '45', 'S', '38', '40', 'W'], (773, 2155)]
[1085609085, '[1391, 1960, 10]', 'E Skara Brae', '52 1S', '27 0W', ['52', '1', 'S', '27', '0', 'W'], (939, 2215)]
[1085609085, '[1391, 1960, 10]', 'E Skara Brae', '45 52S', '27 16W', ['45', '52', 'S', '27', '16', 'W'], (935, 2145)]
[1085609085, '[1391, 1960, 10]', 'E Skara Brae', '45 52S', '27 16W', ['45', '52', 'S', '27', '16', 'W'], (935, 2145)]
[1084435818, '[1391, 1960, 12]', 'Dagger Island 1', '92 32N', '167 58W', ['92', '32', 'N', '167', '58', 'W'], (4054, 571)]
[1084435818, '[1391, 1960, 12]', 'Dagger Island 2', '89 54N', '163 49W', ['89', '54', 'N', '163', '49', 'W'], (4113, 601)]
[1084435818, '[1391, 1960, 12]', 'Dagger Island 3', '85 31N', '156 52W', ['85', '31', 'N', '156', '52', 'W'], (4212, 651)]
[1084435818, '[1391, 1960, 12]', 'Dagger Island 4', '83 24N', '153 42W', ['83', '24', 'N', '153', '42', 'W'], (4257, 675)]
[1084435818, '[1391, 1960, 12]', 'Dagger Island 5', '119 26N', '179 22E', ['119', '26', 'N', '179', '22', 'E'], (3873, 265)]
[1084435818, '[1391, 1960, 12]', 'Dagger Island 6', '116 22N', '178 27W', ['116', '22', 'N', '178', '27', 'W'], (3905, 300)]
[1084435818, '[1391, 1960, 12]', 'Dagger Island 7', '95 58N', '172 41W', ['95', '58', 'N', '172', '41', 'W'], (3987, 532)]
[1084435818, '[1391, 1960, 12]', 'Dagger Island 8', '92 38N', '172 7W', ['92', '38', 'N', '172', '7', 'W'], (3995, 570)]
[1084435818, '[1391, 1960, 12]', 'Dagger Island 9', '87 58N', '171 42W', ['87', '58', 'N', '171', '42', 'W'], (4001, 623)]
[1084435818, '[1391, 1960, 12]', 'Dagger Island 10', '99 34N', '167 41W', ['99', '34', 'N', '167', '41', 'W'], (4058, 491)]
[1085604703, '[1391, 1960, 14]', 'Cove', '53 57N', '75 43E', ['53', '57', 'N', '75', '43', 'E'], (2399, 1010)]
[1085604703, '[1391, 1960, 14]', 'Island of Fire', '169 6S', '121 21W', ['169', '6', 'S', '121', '21', 'W'], (4717, 3547)]
[1085604703, '[1391, 1960, 14]', 'Island of Fire', '140 42S', '131 7W', ['140', '42', 'S', '131', '7', 'W'], (4578, 3224)]
[1085604703, '[1391, 1960, 14]', 'NE Hedge Maze', '39 17S', '0 42W', ['39', '17', 'S', '0', '42', 'W'], (1313, 2070)]
[1085604703, '[1391, 1960, 14]', 'NW Trinsic', '81 54S', '19 3E', ['81', '54', 'S', '19', '3', 'E'], (1593, 2555)]
[1085604703, '[1391, 1960, 14]', 'Jungle 1', '112 30S', '3 43E', ['112', '30', 'S', '3', '43', 'E'], (1375, 2904)]
[1085604703, '[1391, 1960, 14]', 'Jungle 2', '135 15S', '39 30E', ['135', '15', 'S', '39', '30', 'E'], (1884, 3162)]
[1085604703, '[1391, 1960, 14]', 'Ocllo', '82 42S', '152 51E', ['82', '42', 'S', '152', '51', 'E'], (3496, 2564)]
[1085604703, '[1391, 1960, 14]', 'Road to Trin', '71 43S', '16 44E', ['71', '43', 'S', '16', '44', 'E'], (1560, 2439)]
[1085604703, '[1391, 1960, 14]', 'Skara Brae', '49 13S', '31 30W', ['49', '13', 'S', '31', '30', 'W'], (875, 2183)]
[1085604703, '[1391, 1960, 14]', 'E Brit', '8 26N', '34 18E', ['8', '26', 'N', '34', '18', 'E'], (1810, 1528)]
[1085604703, '[1391, 1960, 14]', 'E River', '63 6S', '5 3E', ['63', '6', 'S', '5', '3', 'E'], (1394, 2341)]
[1085604703, '[1391, 1960, 14]', 'NE Yew', '94 34N', '30 14W', ['94', '34', 'N', '30', '14', 'W'], (893, 548)]
[1085604703, '[1391, 1960, 14]', 'S Brit', '36 7S', '9 46E', ['36', '7', 'S', '9', '46', 'E'], (1461, 2034)]
[1085604703, '[1391, 1960, 14]', 'SW Brit', '33 2S', '2 52W', ['33', '2', 'S', '2', '52', 'W'], (1282, 1999)]
[1085604703, '[1391, 1960, 14]', 'SW Brit', '33 2S', '2 52W', ['33', '2', 'S', '2', '52', 'W'], (1282, 1999)]
[1084430952, '[1391, 1960, 16]', 'Cat 09', '16 31S', '5 12E', ['16', '31', 'S', '5', '12', 'E'], (1396, 1811)]
[1084430952, '[1391, 1960, 16]', 'Mountain Goat 09', '43 46S', '13 17E', ['43', '46', 'S', '13', '17', 'E'], (1511, 2121)]
[1084430952, '[1391, 1960, 16]', 'Birds 69', '24 4N', '21 1E', ['24', '4', 'N', '21', '1', 'E'], (1621, 1350)]
[1084430952, '[1391, 1960, 16]', 'Birds 69', '28 18S', '9 25E', ['28', '18', 'S', '9', '25', 'E'], (1456, 1945)]
[1084430952, '[1391, 1960, 16]', 'Cow 111', '26 53S', '0 54E', ['26', '53', 'S', '0', '54', 'E'], (1335, 1929)]
[1084430952, '[1391, 1960, 16]', 'Goat 111', '26 43S', '12 35E', ['26', '43', 'S', '12', '35', 'E'], (1501, 1927)]
[1084430952, '[1391, 1960, 16]', 'Pig 111', '25 50S', '0 33E', ['25', '50', 'S', '0', '33', 'E'], (1330, 1917)]
[1084430952, '[1391, 1960, 16]', 'Sheep 111', '22 56S', '0 46W', ['22', '56', 'S', '0', '46', 'W'], (1312, 1884)]
[1084430952, '[1391, 1960, 16]', 'Dog 153', '16 31S', '5 12E', ['16', '31', 'S', '5', '12', 'E'], (1396, 1811)]
[1084430952, '[1391, 1960, 16]', 'Gorilla 189', '163 12S', '126 16W', ['163', '12', 'S', '126', '16', 'W'], (4647, 3480)]
[1084430952, '[1391, 1960, 16]', 'Squirrel 213', '52 1S', '6 2E', ['52', '1', 'S', '6', '2', 'E'], (1408, 2215)]
[1084430952, '[1391, 1960, 16]', 'Bull Frog 231', '112 51S', '11 31W', ['112', '51', 'S', '11', '31', 'W'], (1159, 2907)]
[1084430952, '[1391, 1960, 16]', 'Hind 231', '47 6S', '13 13E', ['47', '6', 'S', '13', '13', 'E'], (1510, 2159)]
[1084430952, '[1391, 1960, 16]', 'Hind 231', '79 27N', '89 34E', ['79', '27', 'N', '89', '34', 'E'], (2596, 720)]
[1084430952, '[1391, 1960, 16]', 'Timber Wolf 231', '25 18S', '5 54E', ['25', '18', 'S', '5', '54', 'E'], (1406, 1911)]
[1084430952, '[1391, 1960, 16]', 'Timber Wolf 231', '25 18S', '5 54E', ['25', '18', 'S', '5', '54', 'E'], (1406, 1911)]
[1084441180, '[1391, 1960, 18]', '651 White Wolves', '92 27N', '173 15W', ['92', '27', 'N', '173', '15', 'W'], (3979, 572)]
[1084441180, '[1391, 1960, 18]', '711 Bulls 1', '30 24S', '10 20E', ['30', '24', 'S', '10', '20', 'E'], (1469, 1969)]
[1084441180, '[1391, 1960, 18]', '711 Bulls 2', '68 6S', '26 17E', ['68', '6', 'S', '26', '17', 'E'], (1696, 2398)]
[1084441180, '[1391, 1960, 18]', '843 Drakes Destard', '89 17S', '10 24W', ['89', '17', 'S', '10', '24', 'W'], (1175, 2639)]
[1084441180, '[1391, 1960, 18]', '843 Drakes 2', '177 53S', '80 51E', ['177', '53', 'S', '80', '51', 'E'], (2472, 3647)]
[1084441180, '[1391, 1960, 18]', '939 Dragons 2', '178 40S', '80 55E', ['178', '40', 'S', '80', '55', 'E'], (2473, 3656)]
[1084433618, '[1391, 1960, 20]', '291 Horses FireIsla', '174 38S', '120 47W', ['174', '38', 'S', '120', '47', 'W'], (4725, 3610)]
[1084433618, '[1391, 1960, 20]', '291 Horses Hedge Ma', '59 24S', '4 59W', ['59', '24', 'S', '4', '59', 'W'], (1252, 2299)]
[1084433618, '[1391, 1960, 20]', '291 Ostard Desert', '58 37N', '38 36E', ['58', '37', 'N', '38', '36', 'E'], (1871, 957)]
[1084433618, '[1391, 1960, 20]', '291 Ostard Forest', '51 9S', '171 42E', ['51', '9', 'S', '171', '42', 'E'], (3764, 2205)]
[1084433618, '[1391, 1960, 20]', '351 P BearWalrus', '92 43N', '168 19W', ['92', '43', 'N', '168', '19', 'W'], (4049, 569)]
[1084433618, '[1391, 1960, 20]', '351 Black Bear', '55 16N', '77 12E', ['55', '16', 'N', '77', '12', 'E'], (2420, 995)]
[1084433618, '[1391, 1960, 20]', '411 Brown Bear', '84 11N', '27 33W', ['84', '11', 'N', '27', '33', 'W'], (931, 666)]
[1084433618, '[1391, 1960, 20]', '471 Alligators', '169 53N', '145 11W', ['169', '53', 'N', '145', '11', 'W'], (4378, 3787)]
[1084433618, '[1391, 1960, 20]', '531 Snow Leopards', '89 17N', '172 15W', ['89', '17', 'N', '172', '15', 'W'], (3993, 608)]
[1084433618, '[1391, 1960, 20]', '531 Panthers', '98 47N', '27 33W', ['98', '47', 'N', '27', '33', 'W'], (931, 500)]
[1084433618, '[1391, 1960, 20]', '591 Great Harts 1', '153 43S', '122 7W', ['153', '43', 'S', '122', '7', 'W'], (4706, 3372)]
[1084433618, '[1391, 1960, 20]', '591 Great Harts 2', '81 23N', '91 41E', ['81', '23', 'N', '91', '41', 'E'], (2626, 698)]
[1084433618, '[1391, 1960, 20]', '591 Great Harts 3', '97 54S', '55 37E', ['97', '54', 'S', '55', '37', 'E'], (2113, 2737)]
[1084433618, '[1391, 1960, 20]', '591 Grizzly Bear 1', '84 11N', '27 33W', ['84', '11', 'N', '27', '33', 'W'], (931, 666)]
[1084433618, '[1391, 1960, 20]', '591 Grizzly Bear 2', '170 41N', '144 8W', ['170', '41', 'N', '144', '8', 'W'], (4393, 3778)]
[1084433618, '[1391, 1960, 20]', '591 Grizzly Bear 2', '170 41N', '144 8W', ['170', '41', 'N', '144', '8', 'W'], (4393, 3778)]
[1076299177, '[1391, 1963, 10]', 'Grotto Lord', '111 37S', '116 30E', ['111', '37', 'S', '116', '30', 'E'], (2979, 2893)]
[1076299177, '[1391, 1963, 10]', 'Jungle', '53 47N', '39 35E', ['53', '47', 'N', '39', '35', 'E'], (1885, 1012)]
[1076299177, '[1391, 1963, 10]', 'Ocllo 1', '77 25S', '149 12E', ['77', '25', 'S', '149', '12', 'E'], (3444, 2504)]
[1076299177, '[1391, 1963, 10]', 'Ocllo 2', '79 0S', '156 43E', ['79', '0', 'S', '156', '43', 'E'], (3551, 2522)]
[1076299177, '[1391, 1963, 10]', 'North of Britain', '31 48N', '26 47E', ['31', '48', 'N', '26', '47', 'E'], (1703, 1262)]
[1076299177, '[1391, 1963, 10]', 'Northwest of Fire', '17 13N', '76 30W', ['17', '13', 'N', '76', '30', 'W'], (235, 1428)]
[1076299177, '[1391, 1963, 10]', 'East of Minoc', '108 11N', '102 56E', ['108', '11', 'N', '102', '56', 'E'], (2786, 393)]
[1076299177, '[1391, 1963, 10]', 'East of Vesper', '69 57N', '97 27E', ['69', '57', 'N', '97', '27', 'E'], (2708, 828)]
[1076299177, '[1391, 1963, 10]', 'South of Minoc', '69 31N', '91 49E', ['69', '31', 'N', '91', '49', 'E'], (2628, 833)]
[1076299177, '[1391, 1963, 10]', 'South of Minoc 2', '75 40N', '88 52E', ['75', '40', 'N', '88', '52', 'E'], (2586, 763)]
[1076299177, '[1391, 1963, 10]', 'West of Britain', '16 15S', '22 42W', ['16', '15', 'S', '22', '42', 'W'], (1000, 1808)]
[1076299177, '[1391, 1963, 10]', 'West of Britain', '16 15S', '22 42W', ['16', '15', 'S', '22', '42', 'W'], (1000, 1808)]
[1099022767, '[1391, 1963, 12]', 'Booty Island Lord', '45 10S', '177 45W', ['45', '10', 'S', '177', '45', 'W'], (3915, 2137)]
[1099022767, '[1391, 1963, 12]', 'Desert', '71 48N', '40 17E', ['71', '48', 'N', '40', '17', 'E'], (1895, 807)]
[1099022767, '[1391, 1963, 12]', 'Destard South', '101 46S', '3 26E', ['101', '46', 'S', '3', '26', 'E'], (1371, 2781)]
[1099022767, '[1391, 1963, 12]', 'Destard South', '101 46S', '3 26E', ['101', '46', 'S', '3', '26', 'E'], (1371, 2781)]
[1076304104, '[1391, 1963, 14]', 'Ankh L11', '10 53N', '85 8W', ['10', '53', 'N', '85', '8', 'W'], (112, 1500)]
[1076304104, '[1391, 1963, 14]', 'Ankh L12', '30 8N', '89 38W', ['30', '8', 'N', '89', '38', 'W'], (48, 1281)]
[1076304104, '[1391, 1963, 14]', 'Ankh L2', '42 0N', '84 1W', ['42', '0', 'N', '84', '1', 'W'], (128, 1146)]
[1076304104, '[1391, 1963, 14]', 'Ankh L22', '41 39N', '84 39W', ['41', '39', 'N', '84', '39', 'W'], (119, 1150)]
[1074614834, '[1391, 1963, 16]', 'Ankh L11', '7 12N', '87 49W', ['7', '12', 'N', '87', '49', 'W'], (74, 1542)]
[1074614834, '[1391, 1963, 16]', 'Ankh L12', '11 4N', '89 5W', ['11', '4', 'N', '89', '5', 'W'], (56, 1498)]
[1074614834, '[1391, 1963, 16]', 'Ankh L13', '16 36N', '86 58W', ['16', '36', 'N', '86', '58', 'W'], (86, 1435)]
[1074614834, '[1391, 1963, 16]', 'Ankh Graveyard', '26 53N', '84 22W', ['26', '53', 'N', '84', '22', 'W'], (123, 1318)]
[1099021956, '[1391, 1963, 18]', 'Ankh L11', '8 26N', '87 23W', ['8', '26', 'N', '87', '23', 'W'], (80, 1528)]
[1099021956, '[1391, 1963, 18]', 'Ankh L12', '11 57N', '89 22W', ['11', '57', 'N', '89', '22', 'W'], (52, 1488)]
[1099021956, '[1391, 1963, 18]', 'Ankh L13', '19 14N', '85 42W', ['19', '14', 'N', '85', '42', 'W'], (104, 1405)]
[1099021956, '[1391, 1963, 18]', 'Exodus L1', '79 27N', '23 16W', ['79', '27', 'N', '23', '16', 'W'], (992, 720)]
[1099021956, '[1391, 1963, 18]', 'Exodus L21', '137 6N', '48 52E', ['137', '6', 'N', '48', '52', 'E'], (2017, 64)]
[1099021956, '[1391, 1963, 18]', 'Exodus L22', '135 0N', '39 9E', ['135', '0', 'N', '39', '9', 'E'], (1879, 88)]
[1074608898, '[1391, 1963, 20]', 'Firesteed Exodus', '77 25N', '28 45W', ['77', '25', 'N', '28', '45', 'W'], (914, 743)]
[1074608898, '[1391, 1963, 20]', 'Murderers The Grotto', '111 53S', '116 43E', ['111', '53', 'S', '116', '43', 'E'], (2982, 2896)]
[1074608898, '[1391, 1963, 20]', 'Shadow Fiend Exodus', '129 22N', '41 58E', ['129', '22', 'N', '41', '58', 'E'], (1919, 152)]
[1074608898, '[1391, 1963, 20]', 'Shadow Fiend Ankh', '137 48N', '41 58E', ['137', '48', 'N', '41', '58', 'E'], (1919, 56)]
[1074608898, '[1391, 1963, 20]', 'Shadow Knight Ankh', '16 52N', '89 13W', ['16', '52', 'N', '89', '13', 'W'], (54, 1432)]
[1074608898, '[1391, 1963, 20]', 'Shadow Knight Exodus', '75 40N', '35 9W', ['75', '40', 'N', '35', '9', 'W'], (823, 763)]
[1111496312, '[1391, 1964, 30]', 'Outside Graveyard', '25 2N', '133 14W', ['25', '2', 'N', '133', '14', 'W'], (4548, 1339)]
[1111496312, '[1391, 1964, 30]', 'Graveyard Entry', '25 45N', '134 22W', ['25', '45', 'N', '134', '22', 'W'], (4532, 1331)]
[1111496312, '[1391, 1964, 30]', 'MoonglowEntryOutside', '59 9N', '151 6W', ['59', '9', 'N', '151', '6', 'W'], (4294, 951)]
[1111506020, '[1391, 1964, 34]', 'Outside Graveyard', '175 52N', '1 32W', ['175', '52', 'N', '1', '32', 'W'], (1301, 3719)]
[1111506020, '[1391, 1964, 34]', 'Graveyard Entry', '176 2N', '2 23W', ['176', '2', 'N', '2', '23', 'W'], (1289, 3717)]
[1111506020, '[1391, 1964, 34]', 'Jhelom Outside Entry', '179 44N', '10 49E', ['179', '44', 'N', '10', '49', 'E'], (1476, 3675)]
[1075334438, '[1391, 1964, 38]', 'Outside Graveyard', '43 51N', '78 45E', ['43', '51', 'N', '78', '45', 'E'], (2443, 1125)]
[1075334438, '[1391, 1964, 38]', 'Graveyard Entry', '44 33N', '77 29E', ['44', '33', 'N', '77', '29', 'E'], (2424, 1117)]
[1075334438, '[1391, 1964, 38]', 'Cove Entry Outside', '44 54N', '62 34E', ['44', '54', 'N', '62', '34', 'E'], (2212, 1113)]
[1107883973, '[1391, 1964, 42]', 'Outside Graveyard', '11 9N', '4 25E', ['11', '9', 'N', '4', '25', 'E'], (1385, 1497)]
[1107883973, '[1391, 1964, 42]', 'Graveyard Entry', '15 1N', '4 21E', ['15', '1', 'N', '4', '21', 'E'], (1384, 1453)]
[1107883973, '[1391, 1964, 42]', 'EBritOutsideEntrance', '12 13S', '20 48E', ['12', '13', 'S', '20', '48', 'E'], (1618, 1762)]
[1085556912, '[1391, 1966, 10]', 'Ankh FireMagma 1', '64 51N', '91 45W', ['64', '51', 'N', '91', '45', 'W'], (18, 886)]
[1085556912, '[1391, 1966, 10]', 'Ankh Magma L21', '60 17N', '87 19W', ['60', '17', 'N', '87', '19', 'W'], (81, 938)]
[1085556912, '[1391, 1966, 10]', 'Ankh Magma L22', '40 57N', '89 51W', ['40', '57', 'N', '89', '51', 'W'], (45, 1158)]
[1085556912, '[1391, 1966, 10]', 'Ankh Magma L23', '41 39N', '84 39W', ['41', '39', 'N', '84', '39', 'W'], (119, 1150)]
[1085556912, '[1391, 1966, 10]', 'Ankh Pyroclastic', '56 30N', '86 50W', ['56', '30', 'N', '86', '50', 'W'], (88, 981)]
[1085556912, '[1391, 1966, 10]', 'Ankh Pyroclastic', '45 42N', '88 56W', ['45', '42', 'N', '88', '56', 'W'], (58, 1104)]
[1085556912, '[1391, 1966, 10]', 'Exodus Fire L11', '74 10N', '23 29W', ['74', '10', 'N', '23', '29', 'W'], (989, 780)]
[1085556912, '[1391, 1966, 10]', 'Exodus Fire L12', '75 50N', '31 13W', ['75', '50', 'N', '31', '13', 'W'], (879, 761)]
[1076296745, '[1391, 1966, 12]', 'Shadow Iron Ankh L2', '50 26N', '88 10W', ['50', '26', 'N', '88', '10', 'W'], (69, 1050)]
[1076296745, '[1391, 1966, 12]', 'Shadow Iron Ankh L2', '61 20N', '89 43W', ['61', '20', 'N', '89', '43', 'W'], (47, 926)]
[1076296745, '[1391, 1966, 12]', 'Valorite Ankh L2', '54 29N', '87 19W', ['54', '29', 'N', '87', '19', 'W'], (81, 1004)]
[1076296745, '[1391, 1966, 12]', 'Verite Ankh L2', '51 56N', '86 24W', ['51', '56', 'N', '86', '24', 'W'], (94, 1033)]
[1076297693, '[1391, 1966, 14]', 'Earth Ankh L2', '63 48N', '90 12W', ['63', '48', 'N', '90', '12', 'W'], (40, 898)]
[1076297693, '[1391, 1966, 14]', 'Earth Ankh L22', '47 17N', '86 3W', ['47', '17', 'N', '86', '3', 'W'], (99, 1086)]
[1076297693, '[1391, 1966, 14]', 'Golden Ankh L2', '65 2N', '90 46W', ['65', '2', 'N', '90', '46', 'W'], (32, 884)]
[1076297693, '[1391, 1966, 14]', 'Golden Ankh L2', '65 2N', '90 46W', ['65', '2', 'N', '90', '46', 'W'], (32, 884)]
[1085558307, '[1391, 1966, 16]', 'Agapite Ankh L2', '43 3N', '84 56W', ['43', '3', 'N', '84', '56', 'W'], (115, 1134)]
[1085558307, '[1391, 1966, 16]', 'Bronze Ankh L2', '42 11N', '83 52W', ['42', '11', 'N', '83', '52', 'W'], (130, 1144)]
[1085558307, '[1391, 1966, 16]', 'Deep Earth Ankh L2', '64 14N', '86 54W', ['64', '14', 'N', '86', '54', 'W'], (87, 893)]
[1085558307, '[1391, 1966, 16]', 'Deep Earth Grotto', '111 53S', '116 43E', ['111', '53', 'S', '116', '43', 'E'], (2982, 2896)]
[1085558307, '[1391, 1966, 16]', 'Dull Copper Ankh L2', '45 58N', '84 35W', ['45', '58', 'N', '84', '35', 'W'], (120, 1101)]
